"Restricted stopping power for water
Temin(Mev), TCmin(MeV), TCmax(Mev), ndata
0.100000 1.000000 6000.000000 6000
====================================
energy		Sw		MW		Lw		b		range"
35	4076.78	0	2721.788114705593	1.084977067447834	0.01296006590826564
36	4004.4	0	2728.4622037763515	1.0782470889196956	0.013330353505644658
37	3934.41	0	2734.399067615025	1.0695324567533024	0.01379263704872866
38	3866.8	0	2739.4934187871563	1.0589581407883457	0.014165411023018623
39	3801.47	0	2743.6568208927984	1.0466516473561727	0.014611981683168043
40	3738.33	0	2746.816519782293	1.0327412539387852	0.01498664788017235
41	3677.28	0	2748.914294949419	1.0173546149900794	0.01541654523445754
42	3618.23	0	2749.905338318611	1.0006176812243623	0.015792558532858943
43	3561.09	0	2749.757166094582	0.9826538800834389	0.01620539628173425
44	3505.74	0	2748.4485680568264	0.9635835109795414	0.016582265962704817
45	3452.11	0	2745.9685976073088	0.943523314859671	0.016978174329056295
46	3400.09	0	2742.315604978586	0.9225861833156765	0.017355467091924214
47	3349.58	0	2737.4963152621986	0.9008809777301746	0.01773502474456832
48	3300.5	0	2731.5249522855825	0.8785124336849117	0.018112365696580413
49	3253.03	0	2724.422408847564	0.855581130057545	0.018476526872746195
50	3206.85	0	2716.2154633818222	0.8321835058857665	0.018853598849741016
51	3161.92	0	2706.9360427594356	0.8084119112102901	0.019203620361192088
52	3118.21	0	2696.62053064406	0.7843546807988224	0.019580161936901735
53	3075.68	0	2685.3091205627875	0.7600962218958952	0.019917533626440373
54	3034.29	0	2673.045212665383	0.7357171090502292	0.020293336147693963
55	2994.02	0	2659.87485297317	0.7112941806436371	0.020619717263339415
56	2954.81	0	2645.846213802945	0.6869006330523799	0.02099462121358195
57	2916.65	0	2631.0091139411584	0.6626061094637052	0.02131178418553652
58	2879.48	0	2615.414577078754	0.6384767812527068	0.021685675136159967
59	2843.28	0	2599.11442695508	0.6145754205588028	0.021995457430154408
60	2808	0	2582.1609176273564	0.5909614633025961	0.022368261793377364
61	2773.55	0	2564.606397261142	0.5676910623609033	0.02267252589047564
62	2739.97	0	2546.5030038241266	0.5448171310371638	0.02304420664277852
63	2707.23	0	2527.902391075234	0.5223893772694918	0.02334480775277344
64	2675.3	0	2508.8554832453838	0.500454329277249	0.023715360256785716
65	2644.15	0	2489.412256832556	0.4790553535715307	0.0240141210868697
66	2613.76	0	2469.62154795454	0.4582326663995343	0.02438356910359077
67	2584.1	0	2449.530883737418	0.43802333983727026	0.024682260846773458
68	2555.14	0	2429.1863362548793	0.41846130381168567	0.025050652799710374
69	2526.86	0	2408.6323975684813	0.3995773454285362	0.02535098144752664
70	2499.23	0	2387.9118744694715	0.3813991069997365	0.025718386975751663
71	2472.21	0	2367.06580155935	0.36395108417603	0.026021984069169748
72	2445.8	0	2346.133371361783	0.3472546256100474	0.026388490887045375
73	2419.95	0	2325.1518802001015	0.33132793550319056	0.02669690787441332
74	2394.66	0	2304.1566886275673	0.3161860803877021	0.0270626189411861
75	2369.91	0	2283.1811952479206	0.3018410014031871	0.02737732439350207
76	2345.68	0	2262.25682281018	0.28830153324341756	0.027742355385415432
77	2321.97	0	2241.4130155167195	0.27557343085851643	0.028064734413447468
78	2298.75	0	2220.6772465279078	0.26365940490242207	0.028429211483751982
79	2276.01	0	2200.0750347032836	0.2525591667335491	0.02876056679834639
80	2253.75	0	2179.629969658184	0.24226948368940737	0.029124624605920395
81	2231.94	0	2159.3637442737327	0.23278424520008675	0.02946617875603518
82	2210.57	0	2139.2961938353747	0.2240945401078876	0.029829958740677592
83	2189.63	0	2119.445341027577	0.2161887454540459	0.030182857149093405
84	2169.1	0	2099.8274460552348	0.20905262675110217	0.03054650603040778
85	2148.97	0	2080.4570612030316	0.20266944970683057	0.03091182052294588
86	2129.23	0	2061.347089194002	0.19702010308488813	0.03127548899968642
87	2109.87	0	2042.5088447406306	0.19208323222318766	0.031654221589276325
