seondary             mass    charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
S32             29773.637        16	   5.56699978E-03	   3.78849991E-02	   3.45535018E-02	   3.12239993E-02	   3.01865004E-02	   2.92844996E-02	   2.84049995E-02	   2.70895008E-02	   2.68300008E-02	   2.80770008E-02	   2.86305007E-02	   2.71825008E-02	   2.53084991E-02	   2.37594992E-02	   2.15820000E-02	   2.10445002E-02	   2.06269994E-02	   2.03029998E-02	   2.00054999E-02	   1.98400002E-02	   1.94715001E-02	   1.95509996E-02	   1.92545000E-02	   1.93234999E-02	   1.89479999E-02	   1.88974999E-02	   1.88184995E-02	   1.87814999E-02	   1.85920000E-02	   1.85710005E-02	   1.85640007E-02	   1.84979998E-02	   1.83499996E-02	   1.84275005E-02	   1.83575004E-02	   1.83834992E-02	   1.84669998E-02	   1.82770006E-02	   1.82255004E-02	   1.80610009E-02	   1.81354992E-02	   1.79839991E-02	   1.80099998E-02	   1.79175008E-02	   1.79375000E-02
S33             30704.561        16	   1.06840003E-02	   5.14039993E-02	   4.49079983E-02	   4.09044996E-02	   3.90660018E-02	   3.76085006E-02	   3.63565013E-02	   3.55014987E-02	   3.36874984E-02	   3.58094983E-02	   3.61599997E-02	   3.40039991E-02	   3.19360010E-02	   2.95199994E-02	   2.73174997E-02	   2.64724996E-02	   2.57890001E-02	   2.50140000E-02	   2.46099997E-02	   2.41574999E-02	   2.37639993E-02	   2.35149991E-02	   2.32065003E-02	   2.27004997E-02	   2.26419996E-02	   2.25310009E-02	   2.24615000E-02	   2.21024994E-02	   2.21280009E-02	   2.17990000E-02	   2.17345003E-02	   2.17994992E-02	   2.15785000E-02	   2.14454997E-02	   2.13549994E-02	   2.13249996E-02	   2.11545005E-02	   2.10859999E-02	   2.10445002E-02	   2.08829995E-02	   2.07525007E-02	   2.06349995E-02	   2.06380002E-02	   2.05205008E-02	   2.05860008E-02
S34             31632.709        16	   1.69929992E-02	   5.36389984E-02	   4.52090017E-02	   4.24080007E-02	   4.09865007E-02	   3.96725014E-02	   3.84269990E-02	   3.69874984E-02	   3.71170007E-02	   3.78249995E-02	   3.56164984E-02	   3.18970010E-02	   2.90795006E-02	   2.57740002E-02	   2.26629991E-02	   2.17630006E-02	   2.09515002E-02	   2.04214994E-02	   1.97160002E-02	   1.94240008E-02	   1.89619996E-02	   1.86525006E-02	   1.84799992E-02	   1.82425007E-02	   1.80690009E-02	   1.78759992E-02	   1.78289991E-02	   1.75999999E-02	   1.75455008E-02	   1.73119996E-02	   1.72604993E-02	   1.71364993E-02	   1.69690009E-02	   1.68855004E-02	   1.67989992E-02	   1.66564994E-02	   1.68079995E-02	   1.66135002E-02	   1.66599993E-02	   1.64940003E-02	   1.63304992E-02	   1.63899995E-02	   1.63369998E-02	   1.61464997E-02	   1.60544999E-02
S35             32565.289        16	   9.07499983E-04	   4.98249987E-03	   4.72000008E-03	   4.63100011E-03	   4.67000017E-03	   4.51500015E-03	   4.35349997E-03	   3.98850022E-03	   3.92349996E-03	   3.65699991E-03	   3.48900002E-03	   2.94849998E-03	   2.58000009E-03	   2.06950004E-03	   1.80350000E-03	   1.70549995E-03	   1.63600000E-03	   1.59250002E-03	   1.59600005E-03	   1.53450004E-03	   1.49149995E-03	   1.52649998E-03	   1.44599995E-03	   1.47649995E-03	   1.42800005E-03	   1.43599999E-03	   1.40249997E-03	   1.37399998E-03	   1.43149996E-03	   1.47500006E-03	   1.42049999E-03	   1.37449999E-03	   1.39200001E-03	   1.38949999E-03	   1.37950003E-03	   1.38799998E-03	   1.38399994E-03	   1.38749997E-03	   1.40499999E-03	   1.40299997E-03	   1.41749997E-03	   1.37800002E-03	   1.34950003E-03	   1.35499996E-03	   1.36300002E-03
Si27            25130.816        14	   3.79999983E-05	   1.35799998E-03	   3.66650010E-03	   4.71800007E-03	   4.57300013E-03	   4.60800016E-03	   4.48899996E-03	   4.33799997E-03	   4.31999983E-03	   4.38700011E-03	   4.00249986E-03	   3.58849997E-03	   3.09049990E-03	   2.65650009E-03	   2.07099994E-03	   2.09200010E-03	   2.12550000E-03	   2.12650001E-03	   2.05749995E-03	   2.08649994E-03	   2.06850003E-03	   2.08600005E-03	   2.07650010E-03	   2.05449993E-03	   2.06699991E-03	   2.01699999E-03	   2.08949996E-03	   2.07699998E-03	   2.03000009E-03	   2.05049990E-03	   2.13450007E-03	   2.06650002E-03	   2.10050005E-03	   2.08400004E-03	   2.13499996E-03	   2.09799991E-03	   2.12550000E-03	   2.15500011E-03	   2.06950004E-03	   2.04099994E-03	   2.09049997E-03	   2.13799998E-03	   2.11100001E-03	   2.15699989E-03	   2.11100001E-03
Si28            26053.201        14	   8.89000017E-04	   2.93099992E-02	   3.96994986E-02	   3.28944996E-02	   2.93595009E-02	   2.77445000E-02	   2.69265007E-02	   2.65699998E-02	   2.66034994E-02	   3.11709996E-02	   3.41155007E-02	   3.36015001E-02	   3.24575007E-02	   3.11184991E-02	   2.95384992E-02	   2.87730005E-02	   2.81204991E-02	   2.76695006E-02	   2.73805000E-02	   2.71049999E-02	   2.69339997E-02	   2.67709997E-02	   2.64574997E-02	   2.63574999E-02	   2.61255000E-02	   2.57635005E-02	   2.60914993E-02	   2.58019995E-02	   2.56034993E-02	   2.55570002E-02	   2.53615007E-02	   2.50975005E-02	   2.51770001E-02	   2.49339994E-02	   2.50029992E-02	   2.50170007E-02	   2.50640009E-02	   2.48520002E-02	   2.47789994E-02	   2.46235002E-02	   2.44619995E-02	   2.44984999E-02	   2.43020002E-02	   2.42240001E-02	   2.44030003E-02
Si29            26984.295        14	   1.17249996E-03	   3.33095007E-02	   3.85304987E-02	   3.17769982E-02	   2.94794999E-02	   2.79430002E-02	   2.67165005E-02	   2.62940004E-02	   2.64800005E-02	   3.02050002E-02	   3.33814994E-02	   3.25015001E-02	   3.14950012E-02	   3.01339999E-02	   2.83924993E-02	   2.78510004E-02	   2.70990003E-02	   2.66264994E-02	   2.63615008E-02	   2.57224999E-02	   2.54640002E-02	   2.50835009E-02	   2.51655001E-02	   2.48860009E-02	   2.45184992E-02	   2.44560000E-02	   2.40794998E-02	   2.41480004E-02	   2.39240006E-02	   2.37199999E-02	   2.34935004E-02	   2.33970005E-02	   2.34619994E-02	   2.33525001E-02	   2.32599992E-02	   2.30349991E-02	   2.30080001E-02	   2.28394996E-02	   2.29154993E-02	   2.27364991E-02	   2.27914993E-02	   2.26520002E-02	   2.26179995E-02	   2.24545002E-02	   2.22644992E-02
Si30            27913.250        14	   1.50899997E-03	   2.12555006E-02	   2.32510008E-02	   1.99829992E-02	   1.87135004E-02	   1.82485003E-02	   1.78960003E-02	   1.76710002E-02	   1.74055006E-02	   1.94199998E-02	   2.00995002E-02	   1.88685004E-02	   1.77069996E-02	   1.63840000E-02	   1.50765004E-02	   1.46744996E-02	   1.43914996E-02	   1.38720004E-02	   1.36160003E-02	   1.34749999E-02	   1.31280003E-02	   1.31080002E-02	   1.28730005E-02	   1.26879998E-02	   1.25679998E-02	   1.25360005E-02	   1.23635000E-02	   1.23910001E-02	   1.21884998E-02	   1.22435000E-02	   1.21835005E-02	   1.19895004E-02	   1.19669996E-02	   1.18835000E-02	   1.17659997E-02	   1.18634999E-02	   1.18105002E-02	   1.16020003E-02	   1.15614999E-02	   1.14850001E-02	   1.15935002E-02	   1.15754995E-02	   1.15604997E-02	   1.14920000E-02	   1.13004996E-02
Si31            28846.229        14	   4.35000002E-05	   1.96849997E-03	   2.61750002E-03	   2.67149997E-03	   2.72549991E-03	   2.85950000E-03	   2.78200000E-03	   2.81649991E-03	   2.77999998E-03	   2.66700005E-03	   2.45600007E-03	   2.03550002E-03	   1.82200002E-03	   1.44000002E-03	   1.14399998E-03	   1.09449995E-03	   1.10250001E-03	   1.06649997E-03	   1.04100001E-03	   1.03599997E-03	   1.01600005E-03	   1.03249995E-03	   9.61499987E-04	   9.60499980E-04	   9.41000006E-04	   9.34000011E-04	   9.16499994E-04	   9.27500019E-04	   9.28500027E-04	   8.94500001E-04	   8.92499986E-04	   8.91499978E-04	   8.98000028E-04	   8.97000020E-04	   8.85499991E-04	   8.98499973E-04	   8.96000012E-04	   8.69999989E-04	   9.29999980E-04	   8.29499972E-04	   8.95500008E-04	   8.88000010E-04	   8.59999971E-04	   8.99999985E-04	   8.89500021E-04
Ti45                0.000         0	   4.89519984E-02	   3.76999989E-04	   7.50000036E-05	   1.85000008E-05	   4.99999987E-06	   2.49999994E-06	   1.99999999E-06	   4.99999999E-07	   0.00000000    	   0.00000000    	   4.99999999E-07	   0.00000000    	   4.99999999E-07	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    
Ti46                0.000         0	   8.84305015E-02	   4.48500010E-04	   7.85000011E-05	   1.54999998E-05	   8.50000015E-06	   4.99999987E-06	   0.00000000    	   4.99999999E-07	   0.00000000    	   0.00000000    	   9.99999997E-07	   4.99999999E-07	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    	   0.00000000    
triton           2808.922         1	  0.031018426    	  0.077731974    	  0.147409189    	  0.201252087    	  0.237008336    	  0.300264533    	  0.334340396    	  0.370899242    	  0.412568195    	  0.352253937    	  0.318794482    	  0.356541061    	  0.388808831    	  0.470894558    	  0.573825941    	  0.621066186    	  0.685090932    	  0.687200730    	  0.700760833    	  0.728638231    	  0.734245568    	  0.736748893    	  0.738887398    	  0.735139546    	  0.734287869    	  0.728534228    	  0.724078183    	  0.718571088    	  0.713018914    	  0.707152040    	  0.702451458    	  0.696449816    	  0.689752033    	  0.684286599    	  0.681160283    	  0.674316280    	  0.669000655    	  0.665496572    	  0.660506413    	  0.656169327    	  0.455655992    	  0.452926487    	  0.450020999    	  0.447334498    	  0.445917010    
